"onetoken" "Freq" "do.call..rbind...strsplit.as.character..onetoken.onetoken...."
"28603" "shot" 62 "shot"
"32546" "training" 62 "training"
"33706" "usually" 62 "usually"
"4077" "brother" 61 "brother"
"4087" "brown" 61 "brown"
"4175" "budget" 61 "budget"
"17315" "known" 61 "known"
"26499" "result" 61 "result"
"28909" "site" 61 "site"
"34035" "video" 61 "video"
"35570" "yesterday" 61 "yesterday"
"2811" "began" 60 "began"
"3641" "born" 60 "born"
"4762" "career" 60 "career"
"6242" "common" 60 "common"
"7213" "crazy" 60 "crazy"
"9168" "door" 60 "door"
"9401" "drink" 60 "drink"
"9705" "easy" 60 "easy"
"11138" "fans" 60 "fans"
"14405" "held" 60 "held"
"15147" "human" 60 "human"
"16396" "itself" 60 "itself"
"22304" "opportunity" 60 "opportunity"
"28000" "seeing" 60 "seeing"
"28241" "services" 60 "services"
"33414" "united" 60 "united"
"4377" "busy" 59 "busy"
"9817" "education" 59 "education"
"13207" "gonna" 59 "gonna"
"23387" "per" 59 "per"
"24824" "projects" 59 "projects"
"26553" "return" 59 "return"
"28139" "send" 59 "send"
"29741" "spending" 59 "spending"
"30342" "store" 59 "store"
"126" "above" 58 "above"
"1983" "attention" 58 "attention"
"3765" "boys" 58 "boys"
"5550" "christmas" 58 "christmas"
"6269" "companies" 58 "companies"
"9302" "dr" 58 "dr"
"12533" "further" 58 "further"
"13032" "glad" 58 "glad"
"13845" "hair" 58 "hair"
"19934" "michael" 58 "michael"
"20687" "moving" 58 "moving"
"29571" "sounds" 58 "sounds"
"30113" "statement" 58 "statement"
"3101" "biggest" 57 "biggest"
"5090" "certain" 57 "certain"
"5997" "coffee" 57 "coffee"
"7028" "council" 57 "council"
"9360" "dream" 57 "dream"
"11487" "fight" 57 "fight"
"17481" "la" 57 "la"
"26409" "residents" 57 "residents"
"29739" "spend" 57 "spend"
"30044" "stand" 57 "stand"
"30347" "stories" 57 "stories"
"32417" "total" 57 "total"
"34200" "voice" 57 "voice"
"34306" "waiting" 57 "waiting"
"34565" "website" 57 "website"
"2140" "average" 56 "average"
"2471" "bar" 56 "bar"
"3048" "beyond" 56 "beyond"
"5209" "character" 56 "character"
"8033" "defense" 56 "defense"
"11998" "foot" 56 "foot"
"23430" "perhaps" 56 "perhaps"
"25360" "race" 56 "race"
"26378" "research" 56 "research"
"26890" "rock" 56 "rock"
"30376" "straight" 56 "straight"
"30823" "super" 56 "super"
"33789" "value" 56 "value"
"34239" "vote" 56 "vote"
"957" "alone" 55 "alone"
"1398" "anyway" 55 "anyway"
"16622" "jesus" 55 "jesus"
"20677" "moved" 55 "moved"
"24033" "plus" 55 "plus"
"24632" "price" 55 "price"
"27344" "sales" 55 "sales"
"28148" "senior" 55 "senior"
"28902" "sit" 55 "sit"
"312" "act" 54 "act"
"607" "afternoon" 54 "afternoon"
"1311" "answer" 54 "answer"
"4596" "campaign" 54 "campaign"
"10119" "employees" 54 "employees"
"10688" "example" 54 "example"
"11547" "financial" 54 "financial"
"11847" "floor" 54 "floor"
"13132" "goal" 54 "goal"
"16107" "international" 54 "international"
"16240" "involved" 54 "involved"
"16843" "july" 54 "july"
"22058" "ohio" 54 "ohio"
"27552" "save" 54 "save"
"27986" "security" 54 "security"
"28799" "similar" 54 "similar"
"29545" "sort" 54 "sort"
"30200" "step" 54 "step"
"924" "allow" 53 "allow"
"4631" "cancer" 53 "cancer"
"8587" "difficult" 53 "difficult"
"17094" "kept" 53 "kept"
"23089" "passed" 53 "passed"
"24730" "problems" 53 "problems"
"24968" "provide" 53 "provide"
"27173" "rules" 53 "rules"
"30664" "success" 53 "success"
"34335" "walking" 53 "walking"
"34395" "war" 53 "war"
"2232" "b" 52 "b"
"5069" "central" 52 "central"
"5891" "club" 52 "club"
"6327" "complete" 52 "complete"
"7781" "data" 52 "data"
"8564" "died" 52 "died"
"10951" "eye" 52 "eye"
"11576" "finished" 52 "finished"
"12023" "force" 52 "force"
"17863" "learning" 52 "learning"
"18741" "lunch" 52 "lunch"
"19636" "medical" 52 "medical"
"20605" "mostly" 52 "mostly"
"23437" "period" 52 "period"
"26934" "role" 52 "role"
"32995" "tv" 52 "tv"
"34735" "whatever" 52 "whatever"
"2716" "beat" 51 "beat"
"4657" "cannot" 51 "cannot"
"5396" "chicken" 51 "chicken"
"7217" "cream" 51 "cream"
"7569" "customers" 51 "customers"
"9699" "east" 51 "east"
"10322" "entire" 51 "entire"
"10677" "exactly" 51 "exactly"
"12083" "form" 51 "form"
"12956" "gift" 51 "gift"
"14580" "higher" 51 "higher"
"14983" "hospital" 51 "hospital"
"16085" "interest" 51 "interest"
"16498" "january" 51 "january"
"17859" "learned" 51 "learned"
"24252" "position" 51 "position"
"24388" "practice" 51 "practice"
"25776" "received" 51 "received"
"26114" "relationship" 51 "relationship"
"27065" "round" 51 "round"
"28923" "situation" 51 "situation"
"30579" "style" 51 "style"
"32493" "track" 51 "track"
"33613" "upon" 51 "upon"
"34052" "view" 51 "view"
"34346" "wall" 51 "wall"
"34545" "weather" 51 "weather"
"35139" "wonder" 51 "wonder"
"1087" "americans" 50 "americans"
"1115" "amount" 50 "amount"
"1608" "arent" 50 "arent"
"2328" "bag" 50 "bag"
"2449" "bank" 50 "bank"
"2921" "benefits" 50 "benefits"
"3133" "billion" 50 "billion"
"3695" "bought" 50 "bought"
